Billing Document,Item,Billing Type,Billing Date,Billing Qty in SKU,Material,Item Description,Material Group,Assignment
60000564,20,ZF2,11/30/2024,11500,34000007B,COMFEED P Broiler Pre-Starter CRB50,FPBF01,60000564
60000565,10,ZF2,12/12/2024,1000,34000008,COMFEED P Broiler Starter CRB50,FPBF01,60000565
60000566,10,ZF2,12/12/2024,100,34000029,BENEFEED C Broiler Counter Pellet 50Kg,FPBF01,60000566
60000567,10,ZF2,12/12/2024,1000,34000008,COMFEED P Broiler Starter CRB50,FPBF01,60000567
60000568,10,ZF2,12/13/2024,5000,34000011,Tandoori Magic Pre Starter Crumble  50kg,FPBF01,60000568
60000569,10,ZF2,12/13/2024,5000,34000011,Tandoori Magic Pre Starter Crumble  50kg,FPBF01,60000569
60000570,10,ZF2,12/13/2024,5000,34000011,Tandoori Magic Pre Starter Crumble  50kg,FPBF01,60000570
60000571,10,ZF2,12/24/2024,150,34000018A,COMFEED P Broiler Pre-Starter CRB50 CT,FPBF01,60000571
60000572,10,ZF2,12/30/2024,50,34000029,BENEFEED C Broiler Counter Pellet 50Kg,FPBF01,60000572
60000573,10,ZF2,01/01/2025,500,34000003,COMFEED C Broiler Pre-Starter CRB50,FPBF01,60000573
60000574,10,ZF2,01/01/2025,500,34000003,COMFEED C Broiler Pre-Starter CRB50,FPBF01,60000574
60000575,10,ZF2,03/01/2025,750,34000009,COMFEED P Broiler Finsher Pellet50,FPBF01,60000575
60000576,10,ZF2,03/01/2025,750,34000009,COMFEED P Broiler Finsher Pellet50,FPBF01,60000576
60000577,10,ZF2,03/01/2025,50,34000007,COMFEED P Broiler Pre-Starter CRB50,FPBF01,60000577
60000577,20,ZF2,03/01/2025,50,34000008,COMFEED P Broiler Starter CRB50,FPBF01,60000577
60000578,10,ZF2,03/01/2025,750,34000009,COMFEED P Broiler Finsher Pellet50,FPBF01,60000578
60000579,10,ZF2,03/01/2025,1000,34000009,COMFEED P Broiler Finsher Pellet50,FPBF01,60000579
60000580,10,ZF2,03/01/2025,600,34000025A,ULTRAFEED P Broiler Pre-Starter CRB50,FPBF01,60000580
60000580,20,ZF2,03/01/2025,500,34000027B,ULTRAFEED P Broiler Finsher CRB50,FPBF01,60000580
60000580,30,ZF2,03/01/2025,1250,34000009,COMFEED P Broiler Finsher Pellet50,FPBF01,60000580
60000581,10,ZF2,03/01/2025,500,34000008,COMFEED P Broiler Starter CRB50,FPBF01,60000581
60000582,10,ZF2,06/01/2025,600,34000009,COMFEED P Broiler Finsher Pellet50,FPBF01,60000582
60000582,20,ZF2,06/01/2025,450,34000055,ULTRAFEED P Brlr Brdr Layer Ph3 Pellet50,FPBF03,60000582
60000582,30,ZF2,06/01/2025,450,34000120,BENEFEED C Cockerel Grower CRB50,FPBF04,60000582
60000582,40,ZF2,06/01/2025,450,34000124,BENEFEED C Deshi Parent Layer CRB50,FPDF02,60000582
60000582,50,ZF2,06/01/2025,600,33000010A,ULTRAFEED P Broiler Finsher Pellet50 CT,FPBF01,60000582
60000583,10,ZF2,12/25/2024,400,34000009,COMFEED P Broiler Finsher Pellet50,FPBF01,60000583
60000584,10,ZF2,11/25/2024,1000,34000009,COMFEED P Broiler Finsher Pellet50,FPBF01,60000584
60000585,10,ZF2,06/01/2025,750,34000009,COMFEED P Broiler Finsher Pellet50,FPBF01,60000585
60000586,10,ZF2,07/01/2024,250,33000010A,ULTRAFEED P Broiler Finsher Pellet50 CT,FPBF01,60000586
60000587,10,ZF2,07/01/2024,250,33000010A,ULTRAFEED P Broiler Finsher Pellet50 CT,FPBF01,60000587
60000587,20,ZF2,07/01/2024,200,34000124,BENEFEED C Deshi Parent Layer CRB50,FPDF02,60000587
60000588,10,ZF2,03/01/2025,600,33000010A,ULTRAFEED P Broiler Finsher Pellet50 CT,FPBF01,60000588
60000589,10,ZF2,06/01/2025,800,34000009,COMFEED P Broiler Finsher Pellet50,FPBF01,60000589
60000589,20,ZF2,06/01/2025,200,33000010A,ULTRAFEED P Broiler Finsher Pellet50 CT,FPBF01,60000589
60000590,10,ZF2,06/01/2025,800,34000025B,ULTRAFEED P Broiler Pre-Starter CRB50,FPBF01,60000590
60000591,10,ZF2,03/01/2025,250,34000025B,ULTRAFEED P Broiler Pre-Starter CRB50,FPBF01,60000591
60000591,20,ZF2,03/01/2025,250,34000009,COMFEED P Broiler Finsher Pellet50,FPBF01,60000591
60000592,10,ZF2,08/01/2025,250,34000009,COMFEED P Broiler Finsher Pellet50,FPBF01,60000592
60000592,20,ZF2,08/01/2025,250,34000025B,ULTRAFEED P Broiler Pre-Starter CRB50,FPBF01,60000592
60000593,10,ZF2,06/01/2025,500,34000008,COMFEED P Broiler Starter CRB50,FPBF01,60000593
60000595,10,ZF2,06/01/2025,500,34000009,COMFEED P Broiler Finsher Pellet50,FPBF01,60000595
60000596,10,ZF2,06/01/2025,250,34000009,COMFEED P Broiler Finsher Pellet50,FPBF01,60000596
60000597,10,ZF2,07/01/2025,500,34000009,COMFEED P Broiler Finsher Pellet50,FPBF01,60000597
60000598,10,ZF2,12/29/2024,200,34000025B,ULTRAFEED P Broiler Pre-Starter CRB50,FPBF01,60000598
60000599,10,ZF2,01/01/2025,5000,34000008,COMFEED P Broiler Starter CRB50,FPBF01,60000599
60000600,10,ZF2,12/15/2024,5000,34000008,COMFEED P Broiler Starter CRB50,FPBF01,60000600
60000601,10,ZF2,12/25/2024,5000,34000009,COMFEED P Broiler Finsher Pellet50,FPBF01,60000601
60000601,20,ZF2,12/25/2024,5000,34000010,COMFEED P Broiler Finsher CRB50,FPBF01,60000601
60000602,10,ZF2,12/20/2024,10000,34000010,COMFEED P Broiler Finsher CRB50,FPBF01,60000602
60000603,10,ZF2,1/13/2025,25,34000010,COMFEED P Broiler Finsher CRB50,FPBF01,60000603
60000603,11,ZF2,1/13/2025,225,34000010,COMFEED P Broiler Finsher CRB50,FPBF01,60000603
60000604,10,ZF2,1/13/2025,250,34000010,COMFEED P Broiler Finsher CRB50,FPBF01,60000604
60000605,10,ZF2,1/13/2025,2500,34000010,COMFEED P Broiler Finsher CRB50,FPBF01,60000605
60000606,10,ZF2,1/13/2025,300,34000029,BENEFEED C Broiler Counter Pellet 50Kg,FPBF01,60000606
60000607,10,ZF2,1/14/2025,100,34000010,COMFEED P Broiler Finsher CRB50,FPBF01,60000607
60000608,10,ZF2,03/01/2025,100,34000010,COMFEED P Broiler Finsher CRB50,FPBF01,60000608
60000609,10,ZF2,1/14/2025,150,34000010,COMFEED P Broiler Finsher CRB50,FPBF01,60000609
60000610,10,ZF2,1/15/2025,150,34000010,COMFEED P Broiler Finsher CRB50,FPBF01,60000610
60000611,10,ZF2,1/15/2025,250,34000010,COMFEED P Broiler Finsher CRB50,FPBF01,60000611
60000612,10,ZF2,1/22/2025,250,34000010,COMFEED P Broiler Finsher CRB50,FPBF01,60000612
60000613,10,ZF2,1/24/2025,1100,34000010,COMFEED P Broiler Finsher CRB50,FPBF01,60000613
60000614,10,ZF2,1/24/2025,500,34000010,COMFEED P Broiler Finsher CRB50,FPBF01,60000614
60000615,10,ZF2,1/24/2025,100,34000010,COMFEED P Broiler Finsher CRB50,FPBF01,60000615
60000616,10,ZF2,01/02/2025,25,34000022,BENEFEED C Broiler Counter CRB25,FPBF01,60000616
60000617,10,ZF2,1/31/2025,500,34000010,COMFEED P Broiler Finsher CRB50,FPBF01,60000617
60000623,10,ZF2,06/02/2025,500,34000009,COMFEED P Broiler Finsher Pellet50,FPBF01,60000623
60000623,20,ZF2,06/02/2025,225,34000022,BENEFEED C Broiler Counter CRB25,FPBF01,60000623
60000624,10,ZF2,10/02/2025,10000,34000117,BENEFEED C Deshi Starter CRB50,FPDF01,60000624
60000624,20,ZF2,10/02/2025,10000,34000118,BENEFEED C Deshi Finsher CRB50,FPDF01,60000624
60000625,10,ZF2,11/02/2025,500,34000010,COMFEED P Broiler Finsher CRB50,FPBF01,60000625
60000626,10,ZF2,11/02/2025,500,34000118,BENEFEED C Deshi Finsher CRB50,FPDF01,60000626
60000627,10,ZF2,11/02/2025,500,34000010,COMFEED P Broiler Finsher CRB50,FPBF01,60000627
60000628,10,ZF2,11/02/2025,450,34000010,COMFEED P Broiler Finsher CRB50,FPBF01,60000628
60000629,10,ZF2,11/02/2025,100,34000010,COMFEED P Broiler Finsher CRB50,FPBF01,60000629
60000630,10,ZF2,12/02/2025,100,34000010,COMFEED P Broiler Finsher CRB50,FPBF01,60000630
60000631,10,ZF2,12/02/2025,100,34000010,COMFEED P Broiler Finsher CRB50,FPBF01,60000631
60000632,10,ZF2,12/02/2025,100,34000010,COMFEED P Broiler Finsher CRB50,FPBF01,60000632
60000633,10,ZF2,12/02/2025,100,34000010,COMFEED P Broiler Finsher CRB50,FPBF01,60000633
60000634,10,ZF2,12/02/2025,100,34000010,COMFEED P Broiler Finsher CRB50,FPBF01,60000634
60000635,10,ZF2,12/02/2025,100,34000010,COMFEED P Broiler Finsher CRB50,FPBF01,60000635
60000641,10,ZF2,2/19/2025,625,34000009,COMFEED P Broiler Finsher Pellet50,FPBF01,60000641
60000642,10,ZF2,2/19/2025,50,34000010,COMFEED P Broiler Finsher CRB50,FPBF01,60000642
60000643,10,ZF2,2/20/2025,200,34000010,COMFEED P Broiler Finsher CRB50,FPBF01,60000643
60000644,10,ZF2,2/24/2025,250,34000009,COMFEED P Broiler Finsher Pellet50,FPBF01,60000644
60000645,10,ZF2,2/25/2025,25,34000009,COMFEED P Broiler Finsher Pellet50,FPBF01,60000645
60000645,20,ZF2,2/25/2025,50,34000010,COMFEED P Broiler Finsher CRB50,FPBF01,60000645
60000647,10,ZF2,2/25/2025,450,34000009,COMFEED P Broiler Finsher Pellet50,FPBF01,60000647
60000648,10,ZF2,2/25/2025,250,34000009,COMFEED P Broiler Finsher Pellet50,FPBF01,60000648
60000649,10,ZF2,2/26/2025,500,34000116,BENEFEED C Deshi Finsher Pellet50,FPDF01,60000649
60000650,10,ZF2,2/26/2025,500,34000009,COMFEED P Broiler Finsher Pellet50,FPBF01,60000650
60000650,20,ZF2,2/26/2025,2050,34000010,COMFEED P Broiler Finsher CRB50,FPBF01,60000650
60000651,10,ZF2,1/30/2025,500,34000009,COMFEED P Broiler Finsher Pellet50,FPBF01,60000651
60000652,10,ZF2,2/26/2025,250,34000009,COMFEED P Broiler Finsher Pellet50,FPBF01,60000652
60000653,10,ZF2,2/26/2025,8000,34000010,COMFEED P Broiler Finsher CRB50,FPBF01,60000653
60000653,20,ZF2,2/26/2025,250,34000011,Tandoori Magic Pre Starter Crumble  50kg,FPBF01,60000653
60000653,30,ZF2,2/26/2025,500,34000116,BENEFEED C Deshi Finsher Pellet50,FPDF01,60000653
60000654,10,ZF2,2/26/2025,500,34000010,COMFEED P Broiler Finsher CRB50,FPBF01,60000654
60000655,10,ZF2,2/27/2025,1500,34000010,COMFEED P Broiler Finsher CRB50,FPBF01,60000655
60000655,20,ZF2,2/27/2025,500,34000116,BENEFEED C Deshi Finsher Pellet50,FPDF01,60000655
60000656,10,ZF2,2/27/2025,500,34000010,COMFEED P Broiler Finsher CRB50,FPBF01,60000656
60000656,20,ZF2,2/27/2025,500,34000116,BENEFEED C Deshi Finsher Pellet50,FPDF01,60000656
60000657,10,ZF2,1/30/2025,500,34000010,COMFEED P Broiler Finsher CRB50,FPBF01,60000657
60000658,10,ZF2,2/27/2025,500,34000010,COMFEED P Broiler Finsher CRB50,FPBF01,60000658
60000659,10,ZF2,1/31/2025,1500,34000010,COMFEED P Broiler Finsher CRB50,FPBF01,60000659
60000660,10,ZF2,03/03/2025,250,34000010,COMFEED P Broiler Finsher CRB50,FPBF01,60000660
60000661,10,ZF2,04/03/2025,250,34000010,COMFEED P Broiler Finsher CRB50,FPBF01,60000661
60000662,10,ZF2,05/03/2025,5000,34000008,COMFEED P Broiler Starter CRB50,FPBF01,60000662
60000662,20,ZF2,05/03/2025,500,34000010,COMFEED P Broiler Finsher CRB50,FPBF01,60000662
60000662,30,ZF2,05/03/2025,250,34000009,COMFEED P Broiler Finsher Pellet50,FPBF01,60000662
60000663,10,ZF2,06/03/2025,600,34000010,COMFEED P Broiler Finsher CRB50,FPBF01,60000663
60000664,10,ZF2,10/03/2025,50,34000008,COMFEED P Broiler Starter CRB50,FPBF01,60000664
60000665,10,ZF2,10/03/2025,800,34000010,COMFEED P Broiler Finsher CRB50,FPBF01,60000665
60000666,10,ZF2,10/03/2025,500,34000010,COMFEED P Broiler Finsher CRB50,FPBF01,60000666
60000667,10,ZF2,11/03/2025,550,34000010,COMFEED P Broiler Finsher CRB50,FPBF01,60000667
60000668,10,ZF2,3/13/2025,50,34000006,COMFEED C Broiler Finsher CRB50,FPBF01,60000668
60000703,10,ZF2,3/17/2025,50,34000142,STP SF ADULT FISH 26/5 PELLET50kg,FPFF01,60000703
60000704,10,ZF2,3/19/2025,250,34000009,COMFEED P Broiler Finsher Pellet50,FPBF01,60000704
60000719,10,ZF2,3/19/2025,100000,34000001C,COMFEED C Broiler Starter CRB50 CT,FPBF01,60000719
