Billing Document,Item,Billing Type,Billing Date,Billing Qty in SKU,Material,Item Description,Material Group,Assignment
60000761,10,ZF2,02/04/2025,1625,34000009,COMFEED P Broiler Finsher Pellet50,FPBF01,60000761
60000762,10,ZF2,08/04/2025,1250,34000009,COMFEED P Broiler Finsher Pellet50,FPBF01,60000762
60000762,20,ZF2,08/04/2025,2000,34000010,COMFEED P Broiler Finsher CRB50,FPBF01,60000762
60000763,10,ZF2,08/04/2025,250,34000009,COMFEED P Broiler Finsher Pellet50,FPBF01,60000763
60000764,10,ZF2,08/04/2025,1000,34000009,COMFEED P Broiler Finsher Pellet50,FPBF01,60000764
60000764,20,ZF2,08/04/2025,3000,34000010,COMFEED P Broiler Finsher CRB50,FPBF01,60000764
60000765,10,ZF2,08/04/2025,1250,34000009,COMFEED P Broiler Finsher Pellet50,FPBF01,60000765
60000765,20,ZF2,08/04/2025,2000,34000010,COMFEED P Broiler Finsher CRB50,FPBF01,60000765
60000766,10,ZF2,08/04/2025,25,34000009,COMFEED P Broiler Finsher Pellet50,FPBF01,60000766
60000766,20,ZF2,08/04/2025,50,34000010,COMFEED P Broiler Finsher CRB50,FPBF01,60000766
60000767,10,ZF2,08/04/2025,500,34000009,COMFEED P Broiler Finsher Pellet50,FPBF01,60000767
60000767,20,ZF2,08/04/2025,1000,34000010,COMFEED P Broiler Finsher CRB50,FPBF01,60000767
60000768,10,ZF2,08/04/2025,375,34000009,COMFEED P Broiler Finsher Pellet50,FPBF01,60000768
60000768,20,ZF2,08/04/2025,750,34000010,COMFEED P Broiler Finsher CRB50,FPBF01,60000768
60000769,10,ZF2,4/21/2025,50,34000010,COMFEED P Broiler Finsher CRB50,FPBF01,60000769
60000770,10,ZF2,4/21/2025,50,34000010,COMFEED P Broiler Finsher CRB50,FPBF01,60000770
60000771,10,ZF2,4/21/2025,50,34000010,COMFEED P Broiler Finsher CRB50,FPBF01,60000771
60000772,10,ZF2,4/21/2025,100,34000010,COMFEED P Broiler Finsher CRB50,FPBF01,60000772
